id,created_at,updated_at,flight_identifier,flt_num,scheduled_origin_gate,scheduled_destination_gate,out_gmt,in_gmt,off_gmt,on_gmt,destination,origin,destination_full_name,origin_full_name,Price,Price_level,Coreid,Points
291480,9/19/2019 20:36,9/19/2019 20:36,b4131042-7935-486f-bbaa-131819a5b356,2594,1,Any,2/9/2019 19:51,2/9/2019 21:16,2/9/2019 19:58,2/9/2019 21:10,AGP,SDR,Malaga,Santander,50,,1,52
291479,9/19/2019 20:36,9/19/2019 20:36,b3f2f131-eb4f-47d1-a58e-a72757cd9b75,8,B25,Any,2/9/2019 19:57,2/10/2019 1:22,2/9/2019 20:14,2/10/2019 1:18,AUH,FRA,Abu Dhabi Intl,Frankfurt/main,245,,2,21
291482,9/19/2019 20:36,9/19/2019 20:36,c53186ca-dd05-4d4d-bb14-cb3e4eea96d3,1606,A2,C37,2/9/2019 20:01,2/9/2019 22:00,2/9/2019 20:13,2/9/2019 21:54,ATL,OMA,Hartsfield - Jackson Atlanta I,Eppley,24.34,,3,54
291481,9/19/2019 20:36,9/19/2019 20:36,b715fbfc-6187-4ded-8ff6-7f2ff28443cb,2180,2,Any,2/9/2019 19:56,2/10/2019 0:55,2/9/2019 20:04,2/10/2019 0:49,PVR,YQQ,Lic Gustavo Diaz Ordaz Intl,Comox,287.31,,4,55
291513,9/19/2019 20:36,9/19/2019 20:36,5240b1f2-1bda-476e-bf73-25cb8c599bf5,995,C33,Any,2/9/2019 20:07,2/10/2019 4:41,2/9/2019 20:23,2/10/2019 4:35,PEK,CPH,Beijing Capital,Kastrup,545,,5,11
291514,9/19/2019 20:36,9/19/2019 20:36,5ee72821-25e7-46ad-b004-c2ee3a7b60d2,1962,Any,A35,2/9/2019 19:59,2/10/2019 0:17,2/9/2019 20:11,2/10/2019 0:09,DEN,CZM,Denver Intl,Cozumel Intl,65,,6,0
291515,9/19/2019 20:36,9/19/2019 20:36,61f18f78-5262-4a06-86c1-772340914575,568,B09,A38,2/9/2019 19:53,2/10/2019 0:34,2/9/2019 20:11,2/10/2019 0:28,DTW,PVR,Detroit Metro Wayne Co,Lic Gustavo Diaz Ordaz Intl,36,,7,54
291483,9/19/2019 20:36,9/19/2019 20:36,c837372a-d204-4382-9c0b-fdb32d343b2e,328,B5,Any,2/9/2019 20:22,2/9/2019 21:21,2/9/2019 20:35,2/9/2019 21:16,HER,ATH,,Eleftherios Venizelos Intl,871,,8,55
291516,9/19/2019 20:36,9/19/2019 20:36,62836915-d5dd-4c52-a5ca-0a855db67f29,1618,C75,Any,2/9/2019 20:09,2/9/2019 23:46,2/9/2019 20:29,2/9/2019 23:40,TPA,YUL,Tampa Intl,Montreal/pierre-elliott-trudea,50,,9,84
291451,9/19/2019 20:36,9/19/2019 20:36,0081831f-153d-444f-b5d9-6b93ee18d328,1804,B3,8,2/9/2019 20:00,2/9/2019 22:21,2/9/2019 20:17,2/9/2019 22:16,SFB,IND,Orlando Sanford,Indianapolis Intl,245,,10,57
291517,9/19/2019 20:36,9/19/2019 20:36,6a6aa5c6-faab-4b6e-ab2a-1afc8aada6e0,3687,6,B14,2/9/2019 19:54,2/9/2019 22:31,2/9/2019 20:07,2/9/2019 22:24,MDW,BDL,Chicago Midway Intl,Bradley International,24.34,,11,94
291452,9/19/2019 20:36,9/19/2019 20:36,05291af1-4b05-4b2e-8dcc-8158728e47b4,2855,S7,A54,2/9/2019 19:51,2/9/2019 23:58,2/9/2019 20:08,2/9/2019 23:53,DTW,SEA,Detroit Metro Wayne Co,Seattle-tacoma Intl,287.31,,12,52
291518,9/19/2019 20:36,9/19/2019 20:36,6e46eff3-b32d-456c-85ec-aab5fbc91156,569,5,Any,2/9/2019 20:04,2/9/2019 21:27,2/9/2019 20:17,2/9/2019 21:22,LOS,SSG,Murtala Muhammed,Malabo,545,,13,21
291484,9/19/2019 20:36,9/19/2019 20:36,cc499a30-6350-4501-9cdd-dfd840219ce4,1124,A06,D6,2/9/2019 20:08,2/9/2019 22:07,2/9/2019 20:43,2/9/2019 22:03,FLL,ATL,Ft Lauderdale-hollywood Intl,Hartsfield - Jackson Atlanta I,65,,14,54
291453,9/19/2019 20:36,9/19/2019 20:36,1d814559-7c50-44a7-8bf5-ca5bd73224b2,673,C64,Any,2/9/2019 19:58,2/10/2019 6:31,2/9/2019 20:16,2/10/2019 6:25,FCO,GIG,Fiumicino,Canavieiras,36,,15,55
291519,9/19/2019 20:36,9/19/2019 20:36,8069914d-ff2a-4fae-ae61-832f07fb4270,5383,E13,7,2/9/2019 19:57,2/9/2019 21:33,2/9/2019 20:14,2/9/2019 21:29,MLB,CLT,Melbourne Intl,Charlotte/douglas Intl,871,,16,11
291454,9/19/2019 20:36,9/19/2019 20:36,388427ec-03ee-485d-9fd0-3aadd895df3c,2339,C15,9,2/9/2019 19:53,2/10/2019 2:25,2/9/2019 20:10,2/10/2019 2:21,BUR,BOS,Bob Hope,Logan Intl,50,,17,0
291485,9/19/2019 20:36,9/19/2019 20:36,d4e132da-2d01-40a5-b0c4-721de070002c,3314,B9,A5,2/9/2019 20:07,2/9/2019 22:06,2/9/2019 20:17,2/9/2019 22:00,ORF,MDW,Norfolk Intl,Chicago Midway Intl,245,,18,54
291520,9/19/2019 20:36,9/19/2019 20:36,93c521e2-d218-4f23-8e67-3042fa6559bb,1418,B05,4,2/9/2019 20:01,2/9/2019 21:06,2/9/2019 20:17,2/9/2019 21:03,ECP,ATL,NW Florida Beaches International,Hartsfield - Jackson Atlanta I,24.34,,19,55
291455,9/19/2019 20:36,9/19/2019 20:36,416e1286-45ca-4760-b688-fba3e80cb171,1969,F10,A32,2/9/2019 20:01,2/10/2019 0:18,2/9/2019 20:17,2/10/2019 0:12,ATL,PHX,Hartsfield - Jackson Atlanta I,Phoenix Sky Harbor Intl,287.31,,20,84
291521,9/19/2019 20:36,9/19/2019 20:36,978ffbd7-5e04-4a23-b105-303b02cf7149,5639,12,B26,2/9/2019 20:11,2/9/2019 21:57,2/9/2019 20:29,2/9/2019 21:52,CVG,PHL,Cincinnati/northern Ky Intl,Philadelphia Intl,545,,21,57
291486,9/19/2019 20:36,9/19/2019 20:36,d5bc4bcc-f6d3-41f6-8c53-1421b669b024,1146,A7,Any,2/9/2019 20:06,2/9/2019 22:15,2/9/2019 20:20,2/9/2019 22:09,BIO,FRA,Bilbao,Frankfurt/main,65,,22,94
291456,9/19/2019 20:36,9/19/2019 20:36,47b1772c-124d-4306-b134-ef0eeaf3fafc,7042,Any,Any,2/9/2019 19:57,2/9/2019 22:16,2/9/2019 20:06,2/9/2019 22:11,MAD,CAG,Barajas,Elmas Mil,36,,23,52
291522,9/19/2019 20:36,9/19/2019 20:36,9f0673b9-8f44-4d84-a1ec-894dff39bf75,1784,B22,2,2/9/2019 20:02,2/9/2019 21:51,2/9/2019 20:19,2/9/2019 21:47,EYW,ATL,Key West Intl,Hartsfield - Jackson Atlanta I,871,,24,21
291523,9/19/2019 20:36,9/19/2019 20:36,abce04a3-88a7-4ef9-8d5d-ae14e38f24c6,1777,2,E36,2/9/2019 19:54,2/9/2019 21:52,2/9/2019 20:11,2/9/2019 21:45,ATL,EYW,Hartsfield - Jackson Atlanta I,Key West Intl,,,25,54
